,topic,topic_link
1,Fingers crossed Aussies can return in 2022.,/ShowTopic-g293920-i5037-k13481056-Fingers_crossed_Aussies_can_return_in_2022-Phuket.html
2,In which order,/ShowTopic-g293920-i5037-k13488893-In_which_order-Phuket.html
3,November/December 2021,/ShowTopic-g293920-i5037-k13485370-November_December_2021-Phuket.html
4,April 2021 trip - are things actually a lot cheaper now?,/ShowTopic-g293920-i5037-k13466883-April_2021_trip_are_things_actually_a_lot_cheaper_now-Phuket.html
5,Phuket now - some thoughts.,/ShowTopic-g293920-i5037-k13483396-Phuket_now_some_thoughts-Phuket.html
6,thailand holiday for January 2022 (covid permiting),/ShowTopic-g293920-i5037-k13487547-Thailand_holiday_for_January_2022_covid_permiting-Phuket.html
7,Phuket hotels,/ShowTopic-g293920-i5037-k13481785-Phuket_hotels-Phuket.html
8,Disabled Single Man holiday in Phuket?,/ShowTopic-g293920-i5037-k13484478-Disabled_Single_Man_holiday_in_Phuket-Phuket.html
9,Is nightlife too wild?,/ShowTopic-g293920-i5037-k13481579-Is_nightlife_too_wild-Phuket.html
10,"Friendship Leather, great hand made leather boots",/ShowTopic-g297930-i9925-k13481726-Friendship_Leather_great_hand_made_leather_boots-Patong_Kathu_Phuket.html
11,medical care,/ShowTopic-g293920-i5037-k13449496-Medical_care-Phuket.html
12,Movenpick,/ShowTopic-g10804710-i38610-k13480328-Movenpick-Karon_Beach_Karon_Phuket.html
13,August visit,/ShowTopic-g1231756-i20453-k13479244-August_visit-Nai_Thon_Thalang_District_Phuket.html
14,Lovely Laundry,/ShowTopic-g293920-i5037-k13479494-Lovely_Laundry-Phuket.html
15,The Marina Hotel vs The Senses resort and villa?,/ShowTopic-g293920-i5037-k13464914-The_Marina_Hotel_vs_The_Senses_resort_and_villa-Phuket.html
16,Phuket Marriott Merlin Beach November,/ShowTopic-g293920-i5037-k13480348-Phuket_Marriott_Merlin_Beach_November-Phuket.html
17,1 bed apartments,/ShowTopic-g1215780-i12697-k13479930-1_bed_apartments-Karon_Phuket.html
18,Currency exchange,/ShowTopic-g293920-i5037-k13479556-Currency_exchange-Phuket.html
19,On our way from Samui next week. Any advice?,/ShowTopic-g293920-i5037-k13476601-On_our_way_from_Samui_next_week_Any_advice-Phuket.html
20,Phuket and Krabi in March 21,/ShowTopic-g293920-i5037-k13477461-Phuket_and_Krabi_in_March_21-Phuket.html
21,Fingers crossed Aussies can return in 2022.,/ShowTopic-g293920-i5037-k13481056-Fingers_crossed_Aussies_can_return_in_2022-Phuket.html
22,In which order,/ShowTopic-g293920-i5037-k13488893-In_which_order-Phuket.html
23,November/December 2021,/ShowTopic-g293920-i5037-k13485370-November_December_2021-Phuket.html
24,April 2021 trip - are things actually a lot cheaper now?,/ShowTopic-g293920-i5037-k13466883-April_2021_trip_are_things_actually_a_lot_cheaper_now-Phuket.html
25,Phuket now - some thoughts.,/ShowTopic-g293920-i5037-k13483396-Phuket_now_some_thoughts-Phuket.html
26,thailand holiday for January 2022 (covid permiting),/ShowTopic-g293920-i5037-k13487547-Thailand_holiday_for_January_2022_covid_permiting-Phuket.html
27,Phuket hotels,/ShowTopic-g293920-i5037-k13481785-Phuket_hotels-Phuket.html
28,Disabled Single Man holiday in Phuket?,/ShowTopic-g293920-i5037-k13484478-Disabled_Single_Man_holiday_in_Phuket-Phuket.html
29,Is nightlife too wild?,/ShowTopic-g293920-i5037-k13481579-Is_nightlife_too_wild-Phuket.html
30,"Friendship Leather, great hand made leather boots",/ShowTopic-g297930-i9925-k13481726-Friendship_Leather_great_hand_made_leather_boots-Patong_Kathu_Phuket.html
31,medical care,/ShowTopic-g293920-i5037-k13449496-Medical_care-Phuket.html
32,Movenpick,/ShowTopic-g10804710-i38610-k13480328-Movenpick-Karon_Beach_Karon_Phuket.html
33,August visit,/ShowTopic-g1231756-i20453-k13479244-August_visit-Nai_Thon_Thalang_District_Phuket.html
34,Lovely Laundry,/ShowTopic-g293920-i5037-k13479494-Lovely_Laundry-Phuket.html
35,The Marina Hotel vs The Senses resort and villa?,/ShowTopic-g293920-i5037-k13464914-The_Marina_Hotel_vs_The_Senses_resort_and_villa-Phuket.html
36,Phuket Marriott Merlin Beach November,/ShowTopic-g293920-i5037-k13480348-Phuket_Marriott_Merlin_Beach_November-Phuket.html
37,1 bed apartments,/ShowTopic-g1215780-i12697-k13479930-1_bed_apartments-Karon_Phuket.html
38,Currency exchange,/ShowTopic-g293920-i5037-k13479556-Currency_exchange-Phuket.html
39,On our way from Samui next week. Any advice?,/ShowTopic-g293920-i5037-k13476601-On_our_way_from_Samui_next_week_Any_advice-Phuket.html
40,Phuket and Krabi in March 21,/ShowTopic-g293920-i5037-k13477461-Phuket_and_Krabi_in_March_21-Phuket.html
41,Fingers crossed Aussies can return in 2022.,/ShowTopic-g293920-i5037-k13481056-Fingers_crossed_Aussies_can_return_in_2022-Phuket.html
42,In which order,/ShowTopic-g293920-i5037-k13488893-In_which_order-Phuket.html
43,November/December 2021,/ShowTopic-g293920-i5037-k13485370-November_December_2021-Phuket.html
44,April 2021 trip - are things actually a lot cheaper now?,/ShowTopic-g293920-i5037-k13466883-April_2021_trip_are_things_actually_a_lot_cheaper_now-Phuket.html
45,Phuket now - some thoughts.,/ShowTopic-g293920-i5037-k13483396-Phuket_now_some_thoughts-Phuket.html
46,thailand holiday for January 2022 (covid permiting),/ShowTopic-g293920-i5037-k13487547-Thailand_holiday_for_January_2022_covid_permiting-Phuket.html
47,Phuket hotels,/ShowTopic-g293920-i5037-k13481785-Phuket_hotels-Phuket.html
48,Disabled Single Man holiday in Phuket?,/ShowTopic-g293920-i5037-k13484478-Disabled_Single_Man_holiday_in_Phuket-Phuket.html
49,Is nightlife too wild?,/ShowTopic-g293920-i5037-k13481579-Is_nightlife_too_wild-Phuket.html
50,"Friendship Leather, great hand made leather boots",/ShowTopic-g297930-i9925-k13481726-Friendship_Leather_great_hand_made_leather_boots-Patong_Kathu_Phuket.html
51,medical care,/ShowTopic-g293920-i5037-k13449496-Medical_care-Phuket.html
52,Movenpick,/ShowTopic-g10804710-i38610-k13480328-Movenpick-Karon_Beach_Karon_Phuket.html
